
 prefix: admin, CPU load: 0.48, Heap load: 2.73
 prefix: application, CPU load: 0.48, Heap load: 12.77
 prefix: admin, CPU load: 0.44, Heap load: 2.76
 prefix: application, CPU load: 0.44, Heap load: 12.77
 prefix: admin, CPU load: 0.44, Heap load: 2.96
 prefix: application, CPU load: 0.44, Heap load: 12.77
 prefix: admin, CPU load: 0.44, Heap load: 2.96
 prefix: application, CPU load: 0.44, Heap load: 12.77
 prefix: admin, CPU load: 0.44, Heap load: 3.16
 prefix: application, CPU load: 0.44, Heap load: 12.77
 prefix: admin, CPU load: 0.44, Heap load: 3.16
 prefix: application, CPU load: 0.44, Heap load: 12.77
 prefix: admin, CPU load: 0.41, Heap load: 3.36
 prefix: application, CPU load: 0.41, Heap load: 12.77
 prefix: admin, CPU load: 0.41, Heap load: 3.36
 prefix: application, CPU load: 0.41, Heap load: 12.77
 prefix: admin, CPU load: 0.41, Heap load: 3.57
 prefix: application, CPU load: 0.41, Heap load: 12.77
 prefix: admin, CPU load: 0.41, Heap load: 3.57
 prefix: application, CPU load: 0.41, Heap load: 12.77
 prefix: admin, CPU load: 0.41, Heap load: 3.77
 prefix: application, CPU load: 0.41, Heap load: 12.77
 prefix: admin, CPU load: 0.38, Heap load: 3.77
 prefix: application, CPU load: 0.38, Heap load: 12.77
 prefix: admin, CPU load: 0.38, Heap load: 3.94
 prefix: application, CPU load: 0.38, Heap load: 12.77
 prefix: admin, CPU load: 0.38, Heap load: 3.97
